id,name,text,trans
2.00301E+12,めぐる,メイドカフェ……！,女仆咖啡厅……！
0,プロデューサー,いわゆる潜入ってやつだな\nスタッフに扮しためぐるにお客さんは気付くかっていう,就是我们常说的那种潜入拍摄\n看下扮演成工作人员的巡能不能被顾客认出来的那种
2.00301E+12,めぐる,メイドさんになるのかー！\n楽しそう……！,成为女仆啊！\n感觉会很有趣……！
2.00301E+12,めぐる,ちょっとドッキリっぽい雰囲気もあるね,有点整人节目的那种感觉呢
0,プロデューサー,企画の主旨としては一発勝負のものになる,企划的主旨在于一回定胜负
2.00301E+12,めぐる,そっか、お客さんのリアクションは一回きりだもんね,对哦，顾客的反应就只有一次的呢
2.00301E+12,めぐる,失敗できない──！,不允许失败——！
0,プロデューサー,うん\nプレッシャーあるよな,嗯\n会有压力吧
2.00301E+12,めぐる,んー……,嗯……
0,プロデューサー,企画書にもあったとおり\nお店の研修を受けさせてもらえるらしい,按照企划书所说\n好像还要到店里接受培训
0,プロデューサー,飲食店のバイト経験がなくても大丈夫じゃないかな,所以就算是没有在餐饮店打工的经验也没问题
0,プロデューサー,どうする？\n受けるかどうかはめぐるに任せるよ,怎么样？\n要不要接受这份工作就由巡来决定了
2.00301E+12,めぐる,……うん、やりたい！,……嗯，我想接这份工作！
2.00301E+12,めぐる,というか、やりたくない理由がない！,倒不如说，没有不想接受的理由！
2.00301E+12,めぐる,ぼんやーり『こういう感じ』ってイメージはあるけど\nどんな感じなのかなってすっごく気になるし,虽然模模糊糊地有“女仆咖啡厅就是这种感觉！”的想象\n但具体是什么样子我也非常地好奇
2.00301E+12,めぐる,お店の制服着させてもらえるんだよね？,而且还能穿上店里的制服对吧？
0,プロデューサー,そうだな\nフロアに出るそうだから,没错\n毕竟可能要到餐厅的大堂工作
2.00301E+12,めぐる,やったー！,太好了！
2.00301E+12,めぐる,制服可愛いなーって思ってたんだ\nますますやる気でちゃう！,一直都觉得制服很可爱\n越来越有干劲了呢
2.00301E+12,めぐる,──あっ！　そうだ,──啊！对了
0,プロデューサー,うん？,嗯？
2.00301E+12,めぐる,ねぇねぇプロデューサー\nこのお店、一回普通に行ってみることってできるかな,呐呐，制作人\n能不能先普通地去一下这家店呢
