text,trans
ミニライブ,
TV出演,
雑誌インタビュー,
イルミネーションスターズ,
アンティーカ,
放課後クライマックスガールズ,
アルストロメリア,
ストレイライト,
ノクチル,
シーズ,
W.I.N.G.編,
ファン感謝祭編,
G.R.A.D.編,
Landing Point編,
S.T.E.P.編,
Vocal\nアピール,Vocal\nAppeal
Dance\nアピール,Dance\nAppeal
Visual\nアピール,Visual\nAppeal
Excellent\nアピール,Excellent\nAppeal
興味無視,无视兴趣
一気に満足\nさせる,无视兴趣值\n直接满足
全観客に\nアピール,对全体\n观众
メンタルが多い\nほど効果UP,Mental越多\n效果越好
メンタルが少な\nいほど効果UP,Mental越少\n效果越好
思い出ゲージが\n多いほど効果UP,回忆量表越高\n效果越好
注目度が高い\nほど効果UP,瞩目度越高\n效果越好
注目度が低い\nほど効果UP,瞩目度越低\n效果越好
所属ユニットが\n多いほど効果UP,同组合的偶像\n越多效果越好
回復回数増加で\n効果UP,
消去,驱散
アピール倍率\nUP,Appeal倍率\n提升
Vocal UP,
Dance UP,
Visual UP,
Vocal\nDOWN,
Dance\nDOWN,
Visual\nDOWN,
思い出ゲージ\nUP,增加\n回忆量表
思い出ゲージ\nDOWN,减少\n回忆量表
メンタル回復,回复Mental
自身のメンタ\nルを減らす,减少自身\nMental
リザレクショ\nン効果付与,赋予效果\n复活
リラックス\n効果付与,赋予效果\n松弛
メランコリー\n効果付与,赋予效果\n沮丧
メンタルダメ\nージCUT,减免\n受到的Mental伤害
メンタル\nダメージUP,受到的Mental伤害\n增加
注目度UP,瞩目度上升
注目度\nDOWN,瞩目度下降
リアクション\n回避率UP,
回避時ステー\nタス効果付与,
ダメージ時ステー\nタス効果付与,
興味UP,兴趣上升
興味DOWN,兴趣下降
興味反転,兴趣逆转
影響力\nDOWN,影响力\n下降
影響力\nUP,影响力\n上升
パッシブスキル\n発動率UP,
ダメージを\n受けるまで,
PERFECT\nなら効果UP,PERFECT\n效果上升
必ず最初に\nアピール,Appeal必定\n最先出手
必ず最後に\nアピール,Appeal必定\n最后出手
デュエット,
ボーカル,
ダンス,
ビジュアル,
トーク,
アピール,
トワイライツ\nコレクション,
期間限定\nガシャ,
通常ガシャ,
各種\nイベント,
その他,
メンタルUP,
テンションUP,
親愛度UP,
Vocal上限UP,
Dance上限UP,
Visual上限UP,
メンタル上限UP,
SP UP,
ライブスキル,
パッシブスキル,
アビリティ,
Vocal,
Dance,
Visual,
メンタル,
SP,
体力回復,
Vocal上限,
Dance上限,
Visual上限,
ボーカルマスタリー,
ダンスマスタリー,
ビジュアルマスタリー,
ラジオマスタリー,
トークマスタリー,
撮影マスタリー,
オーディションマスタリー,
テンションマスタリー,
ユニットマスタリー,
パーフェクトマスタリー,
エクセレントブースト,
施設マスタリー,
トラブルガード,
体力サポート,
約束リカバー,
おやすみブースト,
アイドルの絆,
イベントブースト,
