id,name,text,trans
0000000000000,プロデューサー,へぇ、これ病院で作ってきたのか……,嘿，这个是在医院里做的啊……
4901700150010,霧子,はい……みんなで……\n作りました……,是的……大家一起……\n制作出来的……
4901700150020,霧子,ひとつは……\n事務所にって……,把其中一个……\n拿到事务所来了……
0000000000000,プロデューサー,フェルトのキャンドル……\nうん、とっても霧子らしいよ,毛毡做的蜡烛……\n嗯，非常有雾子的感觉
4901700150030,霧子,ふふ……,呼呼……
4901700150040,霧子,みんなに……\nあたたかな光が……ともりますように……,希望能……\n将大家都包裹在……这温暖的光芒中……
0000000000000,プロデューサー,それなら、大丈夫だ\nきっと叶うよ,这个的话，没问题的\n肯定能实现
0000000000000,プロデューサー,────触ってもいいな\nちょっとふかふかしてて……心が柔らかくなる,————能摸摸看吗\n看起来软软绵绵的……连心都变得柔和起来了
0000000000000,プロデューサー,みんなが手を伸ばしやすい所に\n飾るといいかもしれない,将它装饰在大家伸手就能碰到的地方\n或许不错呢
4901700150050,霧子,いってらっしゃい……,请随心做吧……
info,special_communications/490170015.json,,
译者,,,
